epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,51.5741,0.62031,0.19533,0.01422,1,0.99722,0.995,0.87176,0.64772,0.20681,0.01141,0.0005842,0.0005842,0.0005842
44,52.5338,0.66305,0.21205,0.01792,0.91712,1,0.98885,0.8526,0.64108,0.23278,0.0114,0.0005743,0.0005743,0.0005743
45,53.4126,0.57772,0.17113,0.01378,0.99583,1,0.995,0.84733,0.67734,0.19015,0.01192,0.0005644,0.0005644,0.0005644
46,54.3699,0.50817,0.17754,0.01072,0.99491,1,0.995,0.83012,0.7306,0.2019,0.01276,0.0005545,0.0005545,0.0005545
47,55.4371,0.57532,0.18735,0.01277,0.99491,1,0.995,0.83012,0.7306,0.2019,0.01276,0.0005446,0.0005446,0.0005446
48,56.5632,0.58406,0.17431,0.01244,0.99504,1,0.995,0.7912,0.78291,0.21321,0.01398,0.0005347,0.0005347,0.0005347
49,57.5862,0.59351,0.21376,0.01515,0.99542,1,0.995,0.79521,0.77669,0.20951,0.01418,0.0005248,0.0005248,0.0005248
50,58.8401,0.57302,0.20358,0.01422,0.99498,1,0.995,0.81185,0.7572,0.20708,0.01412,0.0005149,0.0005149,0.0005149
51,59.8517,0.53394,0.17241,0.01233,0.99498,1,0.995,0.81185,0.7572,0.20708,0.01412,0.000505,0.000505,0.000505
52,60.7431,0.51412,0.16525,0.01353,0.995,1,0.995,0.82189,0.7233,0.19665,0.01352,0.0004951,0.0004951,0.0004951
53,61.8378,0.56006,0.17071,0.01519,0.99409,1,0.995,0.8429,0.67415,0.19835,0.01216,0.0004852,0.0004852,0.0004852
54,62.705,0.46825,0.18117,0.01176,0.99153,1,0.995,0.87075,0.61071,0.19269,0.01051,0.0004753,0.0004753,0.0004753
55,63.6745,0.49143,0.16509,0.01213,0.99153,1,0.995,0.87075,0.61071,0.19269,0.01051,0.0004654,0.0004654,0.0004654
56,64.498,0.51581,0.16629,0.01229,0.99272,1,0.995,0.85267,0.64042,0.25063,0.0109,0.0004555,0.0004555,0.0004555
57,65.5486,0.48373,0.14958,0.01128,0.99453,1,0.995,0.84864,0.65674,0.19325,0.01132,0.0004456,0.0004456,0.0004456
